Region,Time,Longitude,Latitude,T,S,PAR,HfNano,RedNano,HflrNano,HsNano,OraPicoProk,RedPico,HflrPico
B2,2023-05-04 07:58:24,4.94747110001767,40.7669370941956,16.945053561360083,38.13255168451482,913.2872,0.4613438742207759,1.4004145724123074,0.0870420531828517,0.1851329269717074,0.1153202650066222,0.118181515868657,0.001243972413247
B2,2023-05-04 08:15:24,4.94384094693428,40.7719427994716,16.995265479229637,38.11979004266868,743.0322,0.4150769489763167,1.4726183205945165,0.0795944815413688,0.2487928146056552,0.1173056169490237,0.1108209068587291,0.0018294837129909
B2,2023-05-04 08:28:24,4.94199782363906,40.7765551727153,16.964700361283555,38.14320265325777,1231.377,0.3434734060501497,1.4313741498227663,0.0949517270114904,0.1726161568461512,0.1064858833747101,0.102135397776591,0.0017830178477007
B2,2023-05-04 08:46:24,4.93900261715075,40.7822857762984,16.967501989833835,38.15003844960064,1326.722,0.3117092333417586,1.543077509636831,0.0745907001625568,0.2686393569126416,0.096925721517657,0.1067484887094236,0.0015146576491062
B2,2023-05-04 08:58:24,4.94421335962853,40.7777610086998,17.129338344985925,38.13908534415057,1220.35,0.4893300565477192,1.4220624234913386,0.0780190037477007,0.2766441217890589,0.1009646588564073,0.1060539393015829,0.0021170843749961
B2,2023-05-04 09:15:24,4.94148429922287,40.7809594567644,17.458389460909082,38.13958887728743,1384.092,0.4714911783867148,1.891344739790506,0.0635102564373003,0.3051682561148938,0.1010857894236367,0.1037691495221187,0.0011150023748498
B2,2023-05-04 09:28:24,4.93956247029538,40.7840338594092,17.55217192941087,38.13798009339245,1399.856,0.360605160458577,1.8188068599406848,0.0732340414680181,0.2570389613633367,0.0934210939594,0.1025891234572576,0.0011135679861626
B2,2023-05-04 09:46:24,4.93877145916712,40.7864771858302,17.60792943085978,38.140997127366944,1414.842,0.4144045092554251,2.065497973871248,0.0598972144245322,0.3375798943665383,0.0962675779007872,0.0992605021457315,0.001414209537147
B2,2023-05-04 09:58:24,4.93878373957148,40.7873248863576,17.852431395741046,38.134764887073416,1550.308,0.4686231033284443,1.7095348303125912,0.0459193072273775,0.2999346956377005,0.090350239757398,0.0994030876918751,0.0007792522038789
B2,2023-05-04 10:15:24,4.93788248702234,40.7899425999054,17.201279711293694,38.13386096347836,1605.077,0.2552769873307262,1.7256847525834518,0.0675680457772446,0.2375270281927905,0.0893285859370077,0.0976837920875722,0.0017560051172996
B2,2023-05-04 10:28:24,4.93722156832837,40.7907871509287,17.952636966458417,38.1526502469008,1655.867,0.5359253524233616,2.064371054095079,0.0604441482562351,0.3087165418929842,0.0891296838397791,0.0948061800847811,0.0012347040589969
B2,2023-05-04 10:46:24,4.93544632949393,40.7913752238968,17.354810368409083,38.13506939384504,1767.901,0.4910489176032001,1.7934468895315383,0.0558972574029207,0.3088782710800515,0.0933039249273299,0.1050069934861781,0.0013594170058748
B2,2023-05-04 10:58:24,4.93440519407293,40.791984722084,17.30599820746323,38.13326071545075,1776.291,0.4382611367160336,1.6864822861825486,0.079425615090433,0.1763834603545831,0.0842302330981558,0.087813026312653,0.0012032525625381
B2,2023-05-04 11:15:24,4.93267319930082,40.7930954351474,17.165256231509613,38.13838610559343,1820.494,0.3982411789808354,1.4475411582958717,0.066439465167368,0.2844164547453544,0.0875029501140313,0.1066315187146265,0.0017536144944192
