Time,lon,lat,S,T,PAR,HfNano,RedNano,HflrNano,HsNano,OraPicoProk,RedPico,HflrPico
2023-04-29 14:59:00,4.71772920009656,40.8868549963186,38.0783922617425,18.17222186180644,1082.494,117.0,1178.0,235.9,348.9,13070.0,1324.0,69.39
2023-04-29 15:17:00,4.71641710013277,40.9196638963428,38.09597794587588,18.127822317303742,1020.27,115.5,892.5,179.3,368.6,8889.0,1072.0,131.5
2023-04-29 15:29:00,4.71575240009052,40.9414009944784,38.14692397954739,18.157249618469088,805.0154,162.6,1123.0,226.1,424.5,14940.0,1240.0,101.2
2023-04-29 15:47:00,4.71501330030776,40.9741846945147,38.10844523554726,18.06163363047265,1468.399,177.5,1589.0,289.2,510.5,17050.0,1362.0,101.7
2023-04-29 15:59:00,4.71416680019614,40.9960752953983,38.10322365152691,17.936122841203073,1468.129,129.7,1452.0,257.4,409.0,15720.0,1416.0,97.75
2023-04-29 16:16:00,4.71283530014383,41.0272695966586,38.12111197936383,18.00342171726587,1532.713,130.9,1543.0,384.8,509.7,18430.0,1460.0,126.9
2023-04-29 16:29:00,4.71170970020519,41.0505804964031,38.18190517014581,17.887970018152338,1271.673,107.8,1114.0,307.5,501.2,10370.0,1348.0,111.8
2023-04-29 16:47:00,4.71166230004828,41.0824439967049,38.347494980192046,17.878191767807696,1172.01,162.3,1019.0,374.1,477.0,5369.0,1092.0,142.5
2023-04-29 16:59:00,4.71212589985517,41.1020041950577,38.39361473355,17.8080669268924,671.2268,155.2,1305.0,403.8,463.5,11180.0,1066.0,143.2
2023-04-29 17:17:00,4.71242740007241,41.1318991949673,38.37482887205599,17.66803880914339,819.5228,234.1,2144.0,507.8,489.9,11970.0,1440.0,125.0
2023-04-29 17:29:00,4.71158770022631,41.1519251958057,38.41602770057325,17.615018642420964,484.3508,189.7,1863.0,509.2,417.3,16320.0,1204.0,145.8
2023-04-29 17:46:00,4.70979020024341,41.1806627968578,38.50505514625697,17.398168093427483,767.4803,313.4,3384.0,938.2,602.9,19620.0,2483.0,149.7
2023-04-29 17:59:00,4.70789770033796,41.2027481966566,38.502950182413095,17.019484012567172,661.9532,674.2,3866.0,970.5,725.9,9787.0,2784.0,119.3
2023-04-29 18:16:00,4.70509710053108,41.231534595349,38.50646921007558,17.100115214258114,452.2398,322.8,3541.0,876.8,476.2,10910.0,2260.0,161.4
2023-04-29 18:29:00,4.70364930032586,41.2534142950034,38.50325633740816,16.93077273218995,390.2165,224.3,3295.0,851.5,504.1,19210.0,2163.0,109.2
2023-04-29 18:47:00,4.70335049990948,41.2820380951845,38.49693142456867,17.04755898071563,288.1787,210.8,3476.0,1211.0,463.3,24340.0,2364.0,149.1
2023-04-29 18:59:00,4.70358879992456,41.3010124959415,38.48688347049016,17.05481656881428,144.9032,198.9,4468.0,1098.0,511.1,20210.0,3128.0,149.1
2023-04-29 19:17:00,4.70314250016093,41.3306495954456,38.49713615032677,17.22097735353561,33.76617,529.5,6006.0,1019.0,619.1,12920.0,3420.0,183.2
