Time,Longitude,Latitude,T,S,AnRho,Region,color
2023-04-30 12:53:30,4.99869976557856,41.4148907570317,16.3080005645752,38.50758386093442,28.2349,A,lightblue
2023-04-30 12:53:36,4.99869034523077,41.4147188765715,16.306999206543,38.50687858860925,28.2347,A,lightblue
2023-04-30 12:53:42,4.99868151077432,41.4145526592831,16.3090000152588,38.50758383150107,28.2348,A,lightblue
2023-04-30 12:53:48,4.99867939868632,41.4143788889504,16.3120002746582,38.50708170096287,28.2335,A,lightblue
2023-04-30 12:53:54,4.9986761837222,41.4142105470175,16.3090000152588,38.506978195190406,28.2342,A,lightblue
2023-04-30 12:54:00,4.9986754015554,41.4140454702667,16.3090000152588,38.50748412323141,28.2346,A,lightblue
2023-04-30 12:54:06,4.99868283281516,41.4138688223222,16.3150005340576,38.50687849985621,28.2327,A,lightblue
2023-04-30 12:54:12,4.99868405414775,41.4137025742881,16.3209991455078,38.5083848193103,28.2324,A,lightblue
2023-04-30 12:54:18,4.99868316998437,41.4135374542733,16.32200050354,38.50768337735583,28.2317,A,lightblue
2023-04-30 12:54:24,4.99868568966649,41.4133630757904,16.3190002441406,38.50697810017496,28.2318,A,lightblue
2023-04-30 12:54:30,4.9986822222827,41.4131975048637,16.3199996948242,38.50718122845638,28.2318,A,lightblue
2023-04-30 12:54:36,4.9986814994124,41.4130260103062,16.3199996948242,38.50788263473783,28.2323,A,lightblue
2023-04-30 12:54:42,4.99868176982905,41.4128555734897,16.3199996948242,38.50667907915388,28.2313,A,lightblue
2023-04-30 12:54:48,4.9986776,41.4126882895857,16.3199996948242,38.50687837459967,28.2315,A,lightblue
2023-04-30 12:54:54,4.99867551111102,41.4125168555536,16.3199996948242,38.50697801285956,28.2316,A,lightblue
2023-04-30 12:55:00,4.99867275546919,41.4123469875639,16.318000793457,38.50788256489424,28.2326,A,lightblue
2023-04-30 12:55:06,4.99866592837385,41.4121764716316,16.3199996948242,38.50788254913506,28.2323,A,lightblue
2023-04-30 12:55:12,4.99866198828384,41.4120039242577,16.3250007629395,38.50788253204732,28.2311,A,lightblue
2023-04-30 12:55:18,4.99865404674279,41.4118332194095,16.326000213623,38.50848811816791,28.2312,A,lightblue
2023-04-30 12:55:24,4.99864599046154,41.4116619871209,16.3279991149902,38.50788250133199,28.2303,A,lightblue
2023-04-30 12:55:30,4.99864093302186,41.4114868150064,16.32200050354,38.507882484390656,28.2317,A,lightblue
2023-04-30 12:55:36,4.99863376516324,41.4113153929986,16.3159999847412,38.5084880701358,28.2338,A,lightblue
2023-04-30 12:55:42,4.99862777522045,41.4111440642327,16.3120002746582,38.50848805396691,28.2347,A,lightblue
2023-04-30 12:55:48,4.9986228343702,41.4109712995395,16.3150005340576,38.507683123893,28.2334,A,lightblue
2023-04-30 12:55:54,4.99861633398132,41.410797572238,16.3169994354248,38.50758345172385,28.2328,A,lightblue
2023-04-30 12:56:00,4.99861055260964,41.4106230429503,16.3199996948242,38.508085547741445,28.2325,A,lightblue
2023-04-30 12:56:06,4.99860513343704,41.4104506990175,16.32200050354,38.5084879879168,28.2322,A,lightblue
2023-04-30 12:56:12,4.99859998550177,41.4102737866236,16.3250007629395,38.50989465271693,28.2326,A,lightblue
2023-04-30 12:56:18,4.99859699204246,41.4101002929986,16.3269996643066,38.510396747772994,28.2325,A,lightblue
2023-04-30 12:56:24,4.9985949600221,41.4099266478394,16.3309993743896,38.50989461722188,28.2312,A,lightblue
2023-04-30 12:56:30,4.99859178045637,41.4097476869153,16.3320007324219,38.50989459914933,28.2309,A,lightblue
2023-04-30 12:56:36,4.99858797876331,41.4095758488944,16.3299999237061,38.50979109322536,28.2315,A,lightblue
2023-04-30 12:56:42,4.99858434323469,41.4093995726223,16.3299999237061,38.508786850398046,28.2306,A,lightblue
2023-04-30 12:56:48,4.99857632892706,41.4092253536468,16.3320007324219,38.50889032355367,28.2302,A,lightblue
2023-04-30 12:56:54,4.99857165398367,41.4090494798362,16.3279991149902,38.50878681753076,28.2311,A,lightblue
2023-04-30 12:57:00,4.99856822175565,41.4088713950614,16.3269996643066,38.507985719228046,28.2308,A,lightblue
2023-04-30 12:57:06,4.99856112198031,41.4086985278867,16.3250007629395,38.5080853592576,28.2313,A,lightblue
2023-04-30 12:57:12,4.99855852312088,41.4085196207912,16.3250007629395,38.50838430878122,28.2315,A,lightblue
2023-04-30 12:57:18,4.99855311100729,41.408346058802,16.32200050354,38.50838429214936,28.2322,A,lightblue
2023-04-30 12:57:24,4.99854813343735,41.408172024632,16.32200050354,38.50768285081637,28.2317,A,lightblue
2023-04-30 12:57:30,4.99854412125466,41.4079946981385,16.3190002441406,38.50898985918987,28.2335,A,lightblue
2023-04-30 12:57:36,4.99853714323482,41.407823536395,16.3239994049072,38.50969126790096,28.2328,A,lightblue
2023-04-30 12:57:42,4.99853080505464,41.4076476617483,16.3299999237061,38.50908948283002,28.2309,A,lightblue
2023-04-30 12:57:48,4.99852658582213,41.4074723963261,16.3349990844727,38.51019334670768,28.2304,A,lightblue
2023-04-30 12:57:54,4.99852353473306,41.4072947649074,16.3419990539551,38.510496129461366,28.2291,A,lightblue
2023-04-30 12:58:00,4.9985152758425,41.4071224619458,16.3439998626709,38.51029680218383,28.2283,A,lightblue
2023-04-30 12:58:06,4.99851055584053,41.4069495740502,16.3470001220703,38.51039644129492,28.2279,A,lightblue
2023-04-30 12:58:12,4.9985089757907,41.4067731997186,16.3490009307861,38.51069539069759,28.2276,A,lightblue
2023-04-30 12:58:18,4.99850398608943,41.4066001939495,16.3470001220703,38.509894293544725,28.2275,A,lightblue
2023-04-30 12:58:24,4.99849975095925,41.406426589105,16.3460006713867,38.50898970718021,28.227,A,lightblue
2023-04-30 12:58:30,4.99849589611201,41.4062519718842,16.3419990539551,38.50898968983572,28.2279,A,lightblue
2023-04-30 12:58:36,4.99849185650593,41.4060805541425,16.3369998931885,38.50878652811263,28.229,A,lightblue
2023-04-30 12:58:42,4.9984911363396,41.4059042698958,16.3349990844727,38.50818474084165,28.2291,A,lightblue
